Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
miller_rabin_test/46381,2.164096037228918e-10,2.1566603433026227e-10,2.1739346888510285e-10,3.061502044662993e-12,2.3975715088738263e-12,4.284476702574792e-12
miller_rabin_test/768479,2.204561799002612e-10,2.1835361010364752e-10,2.2394246257881159e-10,9.110995150319323e-12,6.272935776553957e-12,1.3188281745433958e-11
miller_rabin_test/9476407,2.2164374570518792e-10,2.201283562242918e-10,2.246122734021102e-10,7.000414121769305e-12,4.594184093791583e-12,1.1466284991887915e-11
miller_rabin_test/36780481,2.2191772231338636e-10,2.2055625304699824e-10,2.242506519798651e-10,6.1195915522844635e-12,4.0337307553621705e-12,9.127582629435515e-12
miller_rabin_test/562390847,2.1995767080573207e-10,2.1895923921727183e-10,2.2111311235767898e-10,3.5652449104609835e-12,2.938733407868708e-12,4.37315084390077e-12
miller_rabin_test/1894083629,2.2124875423592825e-10,2.1917571953304827e-10,2.2357431732135436e-10,7.719445129165437e-12,6.033605878063637e-12,9.633988426476549e-12
miller_rabin_test/65398261921,2.1469126796989132e-10,2.1447932837683675e-10,2.149750039892889e-10,7.968018480796334e-13,5.153328569871248e-13,1.1818599556232588e-12
miller_rabin_test/364879542899,2.1440642367504348e-10,2.143205209481439e-10,2.1456355432477463e-10,3.635987464096174e-13,2.0386369423998967e-13,5.750202851997512e-13
miller_rabin_test/8590365927553,2.1467963749835356e-10,2.1439197892637775e-10,2.153030973144991e-10,1.4297728636873625e-12,3.2562279384229014e-13,2.736019247135217e-12
miller_rabin_test/28564333765949,2.2505898513013236e-10,2.208078057511822e-10,2.3068933911088436e-10,1.7105865531111585e-11,1.3382321691096405e-11,2.1766137559143168e-11
miller_rabin_test/123456789101119,2.1446860181830447e-10,2.142855073303751e-10,2.1483448371722557e-10,8.055863943013341e-13,4.514132205971177e-13,1.2182704586118633e-12
