Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
rho/46382,5.199680508810923e-8,5.1775875146098827e-8,5.234821870275403e-8,9.412993188815833e-10,6.582020402447111e-10,1.5438249187507335e-9
rho/768480,5.3467740806089654e-8,5.292180226977117e-8,5.4211270874733375e-8,2.1028421068443343e-9,1.754970343196558e-9,2.6147127018799574e-9
rho/9476408,5.432563465218297e-8,5.367040406129343e-8,5.54299059689071e-8,2.7788973906661068e-9,1.7954710334384666e-9,4.722148591852647e-9
rho/36780482,5.396461784189802e-8,5.340018528908709e-8,5.463237478632362e-8,1.993536141596983e-9,1.7379983129790582e-9,2.336047211009425e-9
rho/562390848,5.255666742344217e-8,5.21973626275566e-8,5.3427901654616276e-8,1.7776565730089678e-9,9.524290106049634e-10,3.4326575278905753e-9
rho/1894083630,5.242046643601728e-8,5.1873003321279036e-8,5.3986077226141365e-8,2.79143967339533e-9,1.15434951875739e-9,5.233074094566505e-9
rho/65398261922,5.4326292538989875e-8,5.326806454384294e-8,5.5956390530017036e-8,4.37750358468789e-9,2.8529792419333417e-9,5.968396816360086e-9
rho/364879542900,5.455621805187208e-8,5.345136971285299e-8,5.6209799095652556e-8,4.684454313227898e-9,3.1513144309738708e-9,6.19391416328135e-9
rho/8590365927554,5.3604461564548974e-8,5.3032730236407295e-8,5.4361400228980324e-8,2.2456776501261952e-9,1.8536700047689074e-9,3.0340736878955063e-9
rho/28564333765950,5.317839855928422e-8,5.261087799187244e-8,5.405343677679085e-8,2.3700205407526897e-9,1.7454343219583923e-9,3.2113044754752794e-9
rho/12345678910112,5.128239665287093e-8,5.0995081196285285e-8,5.1703395936828836e-8,1.1160374458513253e-9,8.933746661264172e-10,1.5390694829501896e-9
